"tour name","venue","city","region","country","continent","dates","capacity","latitude","longitude","population"
"The Eras Tour","State Farm Stadium ","Glendale","Arizona","United States","North America","17.03.23,18.03.23","78600","33.5791","-112.2311","248083.0"
"The Eras Tour","Allegiant Stadium","Paradise","Nevada","United States","North America","24.03.23,25.03.23","71835","36.0872","-115.1355","189733.0"
"The Eras Tour","AT&T Stadium","Arlington","Texas","United States","North America","31.03.23,01.04.23,02.04.23","71835","32.6998","-97.1250","393469.0"
"The Eras Tour","Raymond James Stadium","Tampa","Florida","United States","North America","13.04.23,14.04.23,15.04.23","75000","27.9945","-82.4447","2861173.0"
"The Eras Tour","NRG Stadium","Houston","Texas","United States","North America","21.04.23,22.04.23,23.04.23","80000","29.786","-95.3885","5970127.0"
"The Eras Tour","Mercedes-Benz Stadium","Atlanta","Georgia","United States","North America","28.04.23,29.04.23,30.04.23","75000","33.7628","-84.422","5180179.0"
"The Eras Tour","Nissan Stadium","Nashville","Tennessee","United States","North America","05.05.23,06.05.23,07.05.23","69143","36.1715","-86.7842","1177657.0"
"The Eras Tour","Lincoln Financial Field","Philadelphia","Pennsylvania","United States","North America","12.05.23,13.05.23,14.05.23","69879","40.0077","-75.1339","5683533.0"
"The Eras Tour","MetLife Stadium","East Rutherford","New Jersey","United States","North America","26.05.23,27.05.23,28.05.23","82500","40.8179","-74.0854","10020.0"
"The Eras Tour","Soldier Field","Chicago","Illinois","United States","North America","02.06.23,03.06.23,04.06.23","62500","41.8375","-87.6866","8497759.0"
"The Eras Tour","Ford Field","Detroit","Michigan","United States","North America","09.06.23,10.06.23","78000","42.3834","-83.1024","3725908.0"
"The Eras Tour","Paycor Stadium","Cincinnati","Ohio","United States","North America","30.06.23,01.07.23","67260","39.1413","-84.506","1692702.0"
"The Eras Tour","Arrowhead Stadium","Kansas City","Missouri","United States","North America","07.07.23,08.07.23","76416","39.1238","-94.5541","1689556.0"
"The Eras Tour","Empower Field at Mile High","Denver","Colorado","United States","North America","14.07.23,15.07.23","85233","39.762","-104.8758","2687458.0"
"The Eras Tour","Lumen Field","Seattle","Washington","United States","North America","22.07.23,23.07.23","77286","47.6211","-122.3244","3561397.0"
"The Eras Tour","SoFi Stadium","Los Angeles","California","United States","North America","03.08.23,04.08.23,05.08.23,07.08.23,08.08.23,09.08.23","100240","34.1141","-118.4068","11922389.0"
"The Eras Tour","Foro Sol","Mexico City","Ciudad de México","Mexico","South America","24.08.23,25.08.23,26.08.23,27.08.23","65000","19.4333","-99.1333","21804000.0"
